EID,GPU Duration (¦Ìs),Input Vertices Read,Input Primitives,GS Primitives,Rasterizer Invocations,Rasterized Primitives,Samples Passed,VS Invocations,TCS Invocations,TES Invocations,GS Invocations,PS Invocations,CS Invocations
38,2.784,0,0,0,0,0,0,0,0,0,0,0,0
40,1.664,0,0,0,0,0,0,0,0,0,0,0,0
42,1.568,0,0,0,0,0,0,0,0,0,0,0,0
44,1.568,0,0,0,0,0,0,0,0,0,0,0,0
46,2.208,0,0,0,0,0,0,0,0,0,0,0,0
48,1.984,0,0,0,0,0,0,0,0,0,0,0,0
50,1.344,0,0,0,0,0,0,0,0,0,0,0,0
52,1.952,0,0,0,0,0,0,0,0,0,0,0,0
54,1.024,0,0,0,0,0,0,0,0,0,0,0,0
56,1.632,0,0,0,0,0,0,0,0,0,0,0,0
58,2.272,0,0,0,0,0,0,0,0,0,0,0,0
60,11.072,0,0,0,0,0,0,0,0,0,0,0,0
62,2.624,0,0,0,0,0,0,0,0,0,0,0,0
64,2.432,0,0,0,0,0,0,0,0,0,0,0,0
66,1.792,0,0,0,0,0,0,0,0,0,0,0,0
68,1.984,0,0,0,0,0,0,0,0,0,0,0,0
70,1.376,0,0,0,0,0,0,0,0,0,0,0,0
72,1.632,0,0,0,0,0,0,0,0,0,0,0,0
74,5.536,0,0,0,0,0,0,0,0,0,0,0,0
76,1.824,0,0,0,0,0,0,0,0,0,0,0,0
78,2.144,0,0,0,0,0,0,0,0,0,0,0,0
80,1.664,0,0,0,0,0,0,0,0,0,0,0,0
82,2.08,0,0,0,0,0,0,0,0,0,0,0,0
84,1.504,0,0,0,0,0,0,0,0,0,0,0,0
86,1.92,0,0,0,0,0,0,0,0,0,0,0,0
88,1.76,0,0,0,0,0,0,0,0,0,0,0,0
90,1.312,0,0,0,0,0,0,0,0,0,0,0,0
92,1.728,0,0,0,0,0,0,0,0,0,0,0,0
94,0.992,0,0,0,0,0,0,0,0,0,0,0,0
96,8.672,0,0,0,0,0,0,0,0,0,0,0,0
98,2.176,0,0,0,0,0,0,0,0,0,0,0,0
113,0.992,0,0,0,0,0,0,0,0,0,0,0,0
114,0.704,0,0,0,0,0,0,0,0,0,0,0,0
115,0.928,0,0,0,0,0,0,0,0,0,0,0,0
116,0.896,0,0,0,0,0,0,0,0,0,0,0,0
128,9.216,0,0,0,0,0,0,0,0,0,0,0,64
131,6.144,0,0,0,0,0,0,0,0,0,0,0,64
133,7.168,0,0,0,0,0,0,0,0,0,0,0,320
136,7.168,0,0,0,0,0,0,0,0,0,0,0,128
162,2.048,0,0,0,0,0,0,0,0,0,0,0,64
166,4.096,0,0,0,0,0,0,0,0,0,0,0,64
169,2.048,0,0,0,0,0,0,0,0,0,0,0,64
173,4.096,0,0,0,0,0,0,0,0,0,0,0,64
176,2.048,0,0,0,0,0,0,0,0,0,0,0,64
180,3.072,0,0,0,0,0,0,0,0,0,0,0,320
183,1.024,0,0,0,0,0,0,0,0,0,0,0,64
187,3.072,0,0,0,0,0,0,0,0,0,0,0,64
218,0.00,0,0,0,0,0,0,0,0,0,0,0,0
219,2.048,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
220,6.144,1428,476,0,476,476,3511,952,0,0,0,1965,0
221,5.12,9216,3072,0,3072,3072,17864,6144,0,0,0,11141,0
222,2.048,1536,512,0,512,512,0,1024,0,0,0,0,0
223,6.144,8922,2974,0,2974,2974,13258,5948,0,0,0,9090,0
224,3.072,1938,646,0,646,646,4977,1292,0,0,0,3477,0
225,1.024,6144,2048,0,2048,800,0,4096,0,0,0,0,0
226,4.096,2058,686,0,686,686,7783,1372,0,0,0,3509,0
227,2.048,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
228,2.048,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
229,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
230,6.144,9486,3162,0,3162,3162,16299,6324,0,0,0,11030,0
231,3.072,120,40,0,40,40,337,80,0,0,0,196,0
232,9.216,11370,3790,0,3790,1268,136652,7580,0,0,0,47719,0
233,2.048,4608,1536,0,1536,1536,0,3072,0,0,0,0,0
234,5.12,2814,938,0,938,938,15705,1876,0,0,0,7518,0
235,5.12,7608,2536,0,2536,2536,7160,5072,0,0,0,5236,0
236,5.12,5994,1998,0,1998,1998,23821,3996,0,0,0,10236,0
237,5.12,9474,3158,0,3158,2980,11706,6316,0,0,0,8296,0
238,7.168,10152,3384,0,3384,2296,57642,6768,0,0,0,26184,0
239,4.096,1074,358,0,358,358,1407,716,0,0,0,1010,0
240,6.144,10446,3482,0,3482,3482,14802,6964,0,0,0,8828,0
241,3.072,690,230,0,230,230,1417,460,0,0,0,876,0
242,5.12,10758,3586,0,3586,3586,953,7172,0,0,0,641,0
243,4.096,228,76,0,76,76,715,152,0,0,0,326,0
244,4.096,594,198,0,198,198,2339,396,0,0,0,1030,0
245,3.072,6144,2048,0,2048,2048,0,4096,0,0,0,0,0
246,2.048,3072,1024,0,1024,1024,0,2048,0,0,0,0,0
247,2.048,48,16,0,16,16,0,32,0,0,0,0,0
248,6.144,10464,3488,0,3488,3488,850,6976,0,0,0,609,0
249,4.096,10554,3518,0,3518,3231,142,7036,0,0,0,93,0
